web-scraper-order,web-scraper-start-url,category,category-href,name,model,price,discount
"1533967978-25","https://buyabans.com/item/list/refrigerators","Double Door Refrigerators","https://buyabans.com/item/list/double-door-refrigerators","LG-REFRIGERATOR INVERTER 255L-SCARLET DAZZLE","MODEL NO: GL-B282RPCK","Rs. 83,900","11%"
"1533967975-16","https://buyabans.com/item/list/refrigerators","Side by Side Refrigerators","https://buyabans.com/item/list/side-by-side-refrigerators","LG-REFRIGERATOR 601L-LUMINOUS BLACK","MODEL NO: GF-D6011LB","Rs. 586,400","11%"
"1533967968-1","https://buyabans.com/item/list/refrigerators","Bottle Coolers","https://buyabans.com/item/list/bottle-coolers","HAIER-BOTTLE COOLER","MODEL NO: SC-210GA","Rs. 63,900","10%"
"1533967968-3","https://buyabans.com/item/list/refrigerators","Bottle Coolers","https://buyabans.com/item/list/bottle-coolers","HAIER-BOTTLE COOLER 300L","MODEL NO: SC-300GA","Rs. 92,900","9%"
"1533967975-12","https://buyabans.com/item/list/refrigerators","Side by Side Refrigerators","https://buyabans.com/item/list/side-by-side-refrigerators","LG-REFRIGERATOR 668L-PLATINUM SILVER3","MODEL NO: GS-B6263PZ","Rs. 309,900","10%"
"1533967980-35","https://buyabans.com/item/list/refrigerators","Single Door Refrigerators","https://buyabans.com/item/list/single-door-refrigerators","LG-REFRIGERATOR 190L-SHINY STEEL","MODEL NO: GL-B205ALLB","Rs. 47,900","4%"
"1533967978-19","https://buyabans.com/item/list/refrigerators","Double Door Refrigerators","https://buyabans.com/item/list/double-door-refrigerators","WHIRLPOOL REFRIGERATOR 240L-TITANIUM","MODEL NO: WTA26TI(R6)","Rs. 54,990","29%"
"1533967968-2","https://buyabans.com/item/list/refrigerators","Bottle Coolers","https://buyabans.com/item/list/bottle-coolers","HAIER-BOTTLE COOLER","MODEL NO: SC-240GA","Rs. 72,900","9%"
"1533967978-24","https://buyabans.com/item/list/refrigerators","Double Door Refrigerators","https://buyabans.com/item/list/double-door-refrigerators","LG-REFRIGERATOR 260L-SHINY STEEL","MODEL NO: GL-B272SLTL","Rs. 76,900","13%"
"1533967975-15","https://buyabans.com/item/list/refrigerators","Side by Side Refrigerators","https://buyabans.com/item/list/side-by-side-refrigerators","LG-REFRIGERATOR  668L, DOOR IN DOOR SXS-NOBEL STEEL","MODEL NO: GS-X6011NS","Rs. 579,900","11%"
