tags,discription,price,title,Title,img,url
"Heat Shrink Tubes,Imported",,Rs.9.00,Φ2.0mmx80mm,Φ2.0mmx80mm,http://scionelectronics.com/wp-content/uploads/2016/05/Heat-Shrink-Tubing-Wrap-Sleeve-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/%cf%862-0mmx80mm/
"Heat Shrink Tubes,Imported",,Rs.16.00,Φ2.0mmx1yd Heat Shrink Tube,Φ2.0mmx1yd Heat Shrink Tube,http://scionelectronics.com/wp-content/uploads/2018/02/Heat-Shrink-Tube-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/%cf%862-0mmx1yd-heat-shrink-tube/
"Heat Shrink Tubes,Imported",,Rs.15.00,Φ13.0mmx80mm,Φ13.0mmx80mm,http://scionelectronics.com/wp-content/uploads/2016/05/Heat-Shrink-Tubing-Wrap-Sleeve-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/%cf%8613-0mmx80mm/
"Heat Shrink Tubes,Local",,Rs.38.00,Φ10.0mmx1yd (Local),Φ10.0mmx1yd (Local),http://scionelectronics.com/wp-content/uploads/2016/05/Heat-Shrink-Tubing-Wrap-Sleeve-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/%cf%8610-0mmx1yd/
"Heat Shrink Tubes,Local",,Rs.9.00,Φ2.0mmx1yd (Local),Φ2.0mmx1yd (Local),http://scionelectronics.com/wp-content/uploads/2016/05/Heat-Shrink-Tubing-Wrap-Sleeve-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/%cf%862-0mmx1yd/
"Heat Shrink Tubes,Imported",,Rs.14.00,Φ10.00mmx80mm,Φ10.00mmx80mm,http://scionelectronics.com/wp-content/uploads/2016/05/Heat-Shrink-Tubing-Wrap-Sleeve-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/%cf%8610-00mmx80mm/
"Heat Shrink Tubes,Imported",,Rs.54.00,Φ10.00mmx1yd Heat Shrink Tube,Φ10.00mmx1yd Heat Shrink Tube,http://scionelectronics.com/wp-content/uploads/2018/02/Heat-Shrink-Tube-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/%cf%8610-00mmx1yd-heat-shrink-tube/
"Heat Shrink Tubes,Imported",,Rs.14.00,Φ1.5mmx1yd Heat Shrink Tube,Φ1.5mmx1yd Heat Shrink Tube,http://scionelectronics.com/wp-content/uploads/2018/02/Heat-Shrink-Tube-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/%cf%861-5mmx1yd-heat-shrink-tube/
"Heat Shrink Tubes,Local",,Rs.10.00,Φ1.5mmx1yd (Local),Φ1.5mmx1yd (Local),http://scionelectronics.com/wp-content/uploads/2016/05/Heat-Shrink-Tubing-Wrap-Sleeve-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/%cf%861-5mmx1yd-local/
"Heat Shrink Tubes,Imported",,Rs.13.00,Φ1.0mmx1yd Heat Shrink Tube,Φ1.0mmx1yd Heat Shrink Tube,http://scionelectronics.com/wp-content/uploads/2018/02/Heat-Shrink-Tube-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/%cf%861-0mmx1yd/
"Heat Shrink Tubes,Local",,Rs.9.50,Φ1.0mmx1yd (Local),Φ1.0mmx1yd (Local),http://scionelectronics.com/wp-content/uploads/2016/05/Heat-Shrink-Tubing-Wrap-Sleeve-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/%cf%861-0mmx1yd-l/
"3D Printer & CNC Accessories,Bearings","Inside diameter: 8mm,Two fixing hole spacing: 42mm,Fixed hole diameter: 6.6mm",Rs.290.00,Zinc Alloy Diameter 8mm Bore Spherical Roller Bearing Pillow Block Mounted Support KP08,Zinc Alloy Diameter 8mm Bore Spherical Roller Bearing Pillow Block Mounted Support KP08,http://scionelectronics.com/wp-content/uploads/2018/04/Zinc-Alloy-Diameter-8mm-Bore-Spherical-Roller-Bearing-Pillow-Block-Mounted-Support-KP08-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/zinc-alloy-diameter-8mm-bore-spherical-roller-bearing-pillow-block-mounted-support-kp08/
Wheels,"Diameter: 1.26″ (34 mm),Tyre width: 0.26″ (6.5 mm),Weight: 0.11 oz (3.2 g),D axis diameter: 3mm “D”",Rs.110.00,ZJ327 Arduino 3PI miniQ Car N20 Motor Rubber Wheel – Black,ZJ327 Arduino 3PI miniQ Car N20 Motor Rubber Wheel – Black,http://scionelectronics.com/wp-content/uploads/2018/01/ZJ327-Arduino-3PI-miniQ-Car-N20-Motor-Rubber-Wheel-–-Black-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/zj327-arduino-3pi-miniq-car-n20-motor-rubber-wheel-black/
Wheels,"Diameter: 1.26″ (34 mm),Tyre width: 0.26″ (6.5 mm),Weight: 0.11 oz (3.2 g),D axis diameter: 3mm “D”",Rs.110.00,ZJ327 Arduino 3PI miniQ Car N20 Motor Rubber Wheel – White,ZJ327 Arduino 3PI miniQ Car N20 Motor Rubber Wheel – White,http://scionelectronics.com/wp-content/uploads/2018/01/ZJ327-Arduino-3PI-miniQ-Car-N20-Motor-Rubber-Wheel-–-White-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/zj327-arduino-3pi-miniq-car-n20-motor-rubber-wheel-white/
"5W, 5%,Resistors",,Rs.10.00,100Ω (Local),100Ω (Local),http://scionelectronics.com/wp-content/uploads/2017/01/5.0W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100%cf%89-3/
"1/2W, 5%,Resistors",,Rs.0.75,100Ω,100Ω,http://scionelectronics.com/wp-content/uploads/2017/01/0.5W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100%cf%89-4/
"1W, 5%",,Rs.1.25,100Ω,100Ω,http://scionelectronics.com/wp-content/uploads/2016/12/1W-Resistor-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/100%cf%89-2/
